Position,MAN City (Team 1),Inter Milan (Team 2),Team 1 (matches_played),Team 2 (matches_played),Team 1 (Mins Played),Team 2 (Mins Played,Team 1 (Goals),Team 2 (Goals),Team 1 (Assists),Team 2 (Assists),Team 1 (No. of attempts),Team 2 (No. of attempts),Team 1 (Attempts_onTarget),Team 2 (Attempts_onTarget),Team 1 (Tackles),Team 2 (Tackles),Team 1 (Tackles_won),Team 2 (Tackles_won),Team 1 (Balls Recovered),Team 2 (Balls Recovered),Team 1 (Number_of_saves),Team 2 (Number_of_saves),Team 1 (clean_sheets),Team 2 (clean_sheets),Team 1 (Top_speed (km/hr)),Team 2 (Top_speed (km/hr),Team 1 (passing accuracy),Team 2 (passing accuracy),Result
0,Ederson,André Onana,10,12,900,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,45,6,8,28.2,28.7,87.1,80.34,0
0,Stefan Ortega,André Onana,2,12,180,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,45,1,8,23.6,28.7,96,80.34,0
1,Erling Haaland,Edin Dzeko,10,12,755,775,12,4,1,1,40,23,25,11,0,2,0,0,7,11,0,0,0,0,35.8,31.8,80.5,65.5,1
1,Erling Haaland,Lautaro Martínez,10,12,755,912,12,3,1,3,40,27,25,6,0,19,0,7,7,20,0,0,0,0,35.8,32.6,80.5,74.84,1
1,Erling Haaland,Joaquín Correa,10,9,755,301,12,1,1,2,40,5,25,2,0,1,0,0,7,7,0,0,0,0,35.8,32.5,80.5,83,1
1,Erling Haaland,Romelu Lukaku,10,7,755,144,12,3,1,1,40,9,25,5,0,0,0,0,7,3,0,0,0,0,35.8,32.71,80.5,77.86,1
1,Julian Alvarez,Edin Dzeko,10,12,468,912,3,4,2,1,14,23,6,11,5,2,0,0,9,11,0,0,0,0,33,31.8,83.3,65.5,0
1,Julian Alvarez,Lautaro Martínez,10,12,468,912,3,3,2,3,14,27,6,6,5,19,0,0,9,20,0,0,0,0,33,32.6,83.3,74.84,1
1,Julian Alvarez,Joaquín Correa,10,9,468,301,3,1,2,2,14,5,6,2,5,1,0,0,9,7,0,0,0,0,33,32.5,83.3,83,1
1,Julian Alvarez,Romelu Lukaku,10,7,468,144,3,3,2,1,14,9,6,5,5,0,0,0,9,3,0,0,0,0,33,32.7,83.3,77.86,1
2,Kyle Walker,Denzel Dumfries,4,11,272,810,0,1,0,0,1,10,0,5,4,10,2,5,22,19,0,0,0,0,35.21,34.71,64.75,68.64,1
2,Kyle Walker,Stefan de Vrij,4,7,272,298,0,0,0,0,1,0,0,0,4,6,2,3,22,11,0,0,0,0,35.21,31,64.75,76.72,1
2,Kyle Walker,Raoul Bellanova,4,2,272,104,0,0,0,0,1,0,0,0,4,2,2,1,22,5,0,0,0,0,35.21,35.5,64.75,72.5,1
2,Kyle Walker,Francesco Acerbi,4,11,272,829,0,0,0,0,1,9,0,2,4,12,2,9,22,54,0,0,0,0,35.21,31.4,64.75,81,1
2,Kyle Walker,Federico Dimarco,4,10,272,646,0,0,0,5,1,11,0,2,4,5,2,1,22,28,0,0,0,0,35.21,33.4,64.75,74.91,1
2,Kyle Walker,Danilo D'Ambrosio,4,5,272,150,0,0,0,0,1,2,0,1,4,3,2,2,22,12,0,0,0,0,35.21,30.6,64.75,70.8,1
2,Kyle Walker,Matteo Darmian,4,10,272,736,0,0,0,0,1,1,0,0,4,16,2,10,22,40,0,0,0,0,35.21,32.9,64.75,81.8,1
2,Kyle Walker,Milan Skriniar,4,8,272,536,0,0,0,0,1,1,0,0,4,8,2,3,22,22,0,0,0,0,35.21,31.2,64.75,87.38,1
2,Kyle Walker,Alessandro Bastoni,4,11,272,913,0,0,0,3,1,4,0,1,4,19,2,9,22,44,0,0,0,0,35.21,33.9,64.75,86.1,1
2,Rúben Dias,Denzel Dumfries,11,11,958,810,1,1,1,0,12,10,5,5,12,10,5,5,59,19,0,0,0,0,33,34.71,95.64,68.64,0
2,Rúben Dias,Stefan de Vrij,11,7,958,298,1,0,1,0,12,0,5,0,12,6,5,3,59,11,0,0,0,0,33,31,95.64,76.72,0
2,Rúben Dias,Raoul Bellanova,11,2,958,104,1,0,1,0,12,0,5,0,12,2,5,1,59,5,0,0,0,0,33,35.5,95.64,72.5,0
2,Rúben Dias,Francesco Acerbi,11,11,958,829,1,0,1,0,12,9,5,2,12,12,5,9,59,54,0,0,0,0,33,31.4,95.64,81,0
2,Rúben Dias,Federico Dimarco,11,10,958,646,1,0,1,5,12,11,5,2,12,5,5,1,59,28,0,0,0,0,33,33.4,95.64,74.91,1
2,Rúben Dias,Danilo D'Ambrosio,11,5,958,150,1,0,1,0,12,2,5,1,12,3,5,2,59,12,0,0,0,0,33,30.6,95.64,70.8,0
2,Rúben Dias,Matteo Darmian,11,10,958,736,1,0,1,0,12,1,5,0,12,16,5,10,59,40,0,0,0,0,33,32.9,95.64,81.8,0
2,Rúben Dias,Milan Skriniar,11,8,958,536,1,0,1,0,12,1,5,0,12,8,5,3,59,22,0,0,0,0,33,31.2,95.64,87.38,1
2,Rúben Dias,Alessandro Bastoni,11,11,958,913,1,0,1,3,12,4,5,1,12,19,5,9,59,44,0,0,0,0,33,33.9,95.64,86.1,1
2,John Stones,Denzel Dumfries,7,11,603,810,1,1,1,0,3,10,1,5,2,10,1,5,26,19,0,0,0,0,33.8,34.71,92.86,68.64,0
2,John Stones,Stefan de Vrij,7,7,603,298,1,0,1,0,3,0,1,0,2,6,1,3,26,11,0,0,0,0,33.8,31,92.86,76.72,0
2,John Stones,Raoul Bellanova,7,2,603,104,1,0,1,0,3,0,1,0,2,2,1,1,26,5,0,0,0,0,33.8,35.5,92.86,72.5,0
2,John Stones,Francesco Acerbi,7,11,603,829,1,0,1,0,3,9,1,2,2,12,1,9,26,54,0,0,0,0,33.8,31.4,92.86,81,0
2,John Stones,Federico Dimarco,7,10,603,646,1,0,1,5,3,11,1,2,2,5,1,1,26,28,0,0,0,0,33.8,33.4,92.86,74.91,0
2,John Stones,Danilo D'Ambrosio,7,5,603,150,1,0,1,0,3,2,1,1,2,3,1,2,26,12,0,0,0,0,33.8,30.6,92.86,70.8,0
2,John Stones,Matteo Darmian,7,10,603,736,1,0,1,0,3,1,1,0,2,16,1,10,26,40,0,0,0,0,33.8,32.9,92.86,81.8,0
